tipo,artista,genero,nombre,año,id
album,Eric Church,country,Desperate Man,2018,5TjDN2hfsgNWVtP8Ew56Xx
album,Willie Nelson,country,My Way,2018,6x4hSL5zCjExduI7LygbhX
album,Willie Nelson,country,Made in the USA Collection,2018,4Rk985z2b6kG2SHNriLyu1
album,Willie Nelson,country,Last Man Standing,2018,59kwBSCOkQiV6L6tUxkNjU
album,Jordan Davis,country,Home State,2018,3CXa4AY5Rt4kymz1vW90WR
album,Jason Aldean,country,Rearview Town,2018,0m3ZCK4dSvyq6KUzEWdMhE
album,Tyler Childers,country,Live on Red Barn Radio I & II,2018,7lf0m3iNU59X4r8udCQcB6
album,Kacey Musgraves,country,Golden Hour,2018,7f6xPqyaolTiziKf5R5Z0c
album,Thomas Rhett,country,Life Changes (Deluxe Version),2018,4aHakdIA1e8HoRRUsYszDY
album,Luke Combs,country,This One's for You Too (Deluxe Edition),2018,53Oa5Bu0UTU8o8qCTaHKoz
album,Morgan Wallen,country,If I Know Me,2018,6WKNoni6aDzCTUN1CtJJ5R
album,Jelly Roll,country,Goodnight Nashville,2018,4BEol4SQk5NthGSNpaxIal
album,Jelly Roll,country,Waylon & Willie III,2018,138S8GterIlZRtIQCzMeml
album,Jelly Roll,country,Waylon & Willie 2,2018,4o9I622N2dNhGOiaHqjwad
album,Shaboozey,country,Lady Wrangler,2018,2xUAnts1jM9tnbxi23Jf5O
album,Dolly Parton,country,Dumplin' Original Motion Picture Soundtrack,2018,50FL6Vavo5CtZ1S9QQSJeO
album,Brett Young,country,Ticket To L.A.,2018,3TJSHb2z7Zo2K8ff8bMSik
album,The Chicks,country,DCX MMXVI Live,2018,0RzDIlNvie24VMspi1EaXF
album,Kenny Chesney,country,Songs for the Saints,2018,77spqXa3VNN0mw13PgWWyY
album,Dan + Shay,country,Dan + Shay,2018,0g1F5eGVwX4Sxi1n8ojPkE
album,Miranda Lambert,country,Interstate Gospel,2018,0IXxmmlfSQxgJNWnNjHhgJ
album,Colter Wall,country,Songs of the Plains,2018,6DzYh2Z00xNWG8wtfB6kIY
album,Soap&Skin,country,From Gas to Solid / you are my friend,2018,0jDK15E80QD5ekIOlqdY7h
album,Kelsea Ballerini,country,Unapologetically (Deluxe Edition),2018,7Ht6xQ80vFtSe2n2KjAAsA
album,Bishop Briggs,country,Church Of Scars,2018,1TTxcgs3zEngN0EB56yXzY
album,Elle King,country,Shake The Spirit,2018,0YYboPBsKcVDrXiNfNIi7o
